project,bug,test_class,test_method,history,same_package,modified_classes_count,label
Chart,1,org.jfree.chart.axis.junit.LogAxisTests,testCloning,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.LogAxisTests,testEquals,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.LogAxisTests,testHashCode,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.LogAxisTests,testTranslateJava2DToValue,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.LogAxisTests,testSerialization,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.LogAxisTests,testAutoRange1,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.LogAxisTests,testAutoRange3,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.LogAxisTests,testXYAutoRange1,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.LogAxisTests,testXYAutoRange2,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.LogAxisTests,testSetLowerBound,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.LogAxisTests,testTickMarksVisibleDefault,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.NumberAxisTests,testCloning,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.NumberAxisTests,testEquals,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.NumberAxisTests,testHashCode,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.NumberAxisTests,testTranslateJava2DToValue,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.NumberAxisTests,testSerialization,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.NumberAxisTests,testAutoRange1,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.NumberAxisTests,testAutoRange2,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.NumberAxisTests,testAutoRange3,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.NumberAxisTests,testAutoRange4,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.NumberAxisTests,testXYAutoRange1,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.NumberAxisTests,testXYAutoRange2,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.NumberAxisTests,testSetLowerBound,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.SubCategoryAxisTests,testEquals,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.SubCategoryAxisTests,testHashCode,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.SubCategoryAxisTests,testCloning,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.SubCategoryAxisTests,testSerialization,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.SubCategoryAxisTests,test2275695,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.ValueAxisTests,testCloning,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.ValueAxisTests,testEquals,0,0,1,0
Chart,1,org.jfree.chart.axis.junit.ValueAxisTests,testAxisMargins,0,0,1,0
Chart,1,org.jfree.chart.junit.AreaChartTests,testSetSeriesToolTipGenerator,0,0,1,0
Chart,1,org.jfree.chart.junit.AreaChartTests,testSetSeriesURLGenerator,0,0,1,0
Chart,1,org.jfree.chart.junit.AreaChartTests,testDrawWithNullInfo,0,0,1,0
Chart,1,org.jfree.chart.junit.AreaChartTests,testReplaceDataset,0,0,1,0
Chart,1,org.jfree.chart.junit.BarChart3DTests,testDrawWithNullInfo,0,0,1,0
Chart,1,org.jfree.chart.junit.BarChart3DTests,testReplaceDataset,0,0,1,0
Chart,1,org.jfree.chart.junit.BarChart3DTests,testSetSeriesToolTipGenerator,0,0,1,0
Chart,1,org.jfree.chart.junit.BarChart3DTests,testSetSeriesURLGenerator,0,0,1,0
Chart,1,org.jfree.chart.junit.BarChartTests,testDrawWithNullInfo,0,0,1,0
Chart,1,org.jfree.chart.junit.BarChartTests,testReplaceDataset,0,0,1,0
Chart,1,org.jfree.chart.junit.BarChartTests,testSetSeriesToolTipGenerator,0,0,1,0
Chart,1,org.jfree.chart.junit.BarChartTests,testSetSeriesURLGenerator,0,0,1,0
Chart,1,org.jfree.chart.junit.ChartPanelTests,testConstructor1,0,0,1,0
